time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.91314968544e-07,-7.03291959471e-08,9.99948290196,6.28302436883,0.000228047746861,0.0,-1.68045761581e-05,-8.62504521311e-06,-0.0172366877918,-0.00867371239507,0.0104858875068,0.0,397.25563194965736,398.2158299631549,398.6035782862805,397.81026545218907
0.12000000000000001,-1.010943155e-05,-6.12999071083e-06,10.0047204084,6.28195063808,0.0013322262684,0.0,-0.000420268088063,-0.00026912068114,0.191807938136,-0.0519278034296,0.0307989313309,0.0,469.4433123353086,471.01660841864657,471.8943940025878,468.5439956055299
0.18,-6.71297696012e-05,-5.62155079709e-05,10.0172913568,6.27847363141,0.00263056265009,0.0,-0.00163981004851,-0.00170133254458,0.227215948258,-0.0740761156108,-0.0118054473174,0.0,417.4822474463302,413.7489144338955,417.2482148155386,415.3076694210276
0.23999999999999996,-0.000219709766515,-0.000278362909387,10.0349844956,6.27416961807,0.0017482060418,0.0,-0.00336161004334,-0.00617209511786,0.36251873068,-0.0674200605455,-0.0212500124866,0.0,448.6249008771603,447.85760855913907,447.5661410044368,448.1035080214027
0.3,-0.000456112649959,-0.000861447831864,10.060858734,6.26980738382,0.00156256608239,0.0,-0.00445468836989,-0.0137125066444,0.49990058764,-0.0862052064002,0.0194287198826,0.0,447.32040406299393,450.6203069597619,449.3430783241015,447.81367454401413
0.36000000000000004,-0.000764400341403,-0.00201522412805,10.0962781263,6.26449476545,0.00266242082792,0.0,-0.00595062772179,-0.0253423337967,0.680645792879,-0.0936830155133,0.0160397418552,0.0,462.6601398082862,462.3932045003144,462.0200644393058,461.4239717971224
0.4200000000000001,-0.00119319185121,-0.00403087014369,10.1446452491,6.25991140992,0.00379282916127,0.0,-0.00847269925827,-0.0424609946601,0.93140789392,-0.0545678875377,0.0239227283066,0.0,482.4910223032361,483.0856360094021,481.59602511611615,484.5403756992427
0.48000000000000015,-0.00179131746249,-0.00710174475451,10.2047728092,6.25639979921,0.00584477471095,0.0,-0.0116587219075,-0.0602638513791,1.07271159118,-0.0679284394705,0.0493574583373,0.0,449.9373512751988,451.99201989493537,451.12390257678464,450.0415187516075
0.5400000000000001,-0.00264391869612,-0.0113767888934,10.2754047154,6.25226388323,0.00886012787449,0.0,-0.0171130855329,-0.0827166618597,1.28145777569,-0.0710173641853,0.0519941879341,0.0,471.8568668816803,472.06178325874833,470.9534431462986,470.7111809269081
0.6000000000000002,-0.0038560472979,-0.0169622923772,10.354253208,6.24781490455,0.0115416117699,0.0,-0.0235782953204,-0.103885498086,1.34673279105,-0.081289597633,0.0231656455243,0.0,429.24668272271197,426.7945925889271,427.46319720874766,426.58242906144676
0.6600000000000003,-0.0055676791063,-0.024104566123,10.4424551651,6.24314586968,0.0123438182692,0.0,-0.0336353055168,-0.134768430157,1.59299655181,-0.0716506390267,-0.02825792335,0.0,485.4508768221937,481.57715466633204,482.1646206700789,482.8878717033952
0.7200000000000003,-0.00787129244523,-0.0331600758268,10.5440956611,6.23856026456,0.0104439555816,0.0,-0.0429389652654,-0.167587567417,1.79470358455,-0.0882756843522,-0.039535784916,0.0,471.4173042248438,470.5448002491984,471.1073864993348,469.8158684191608
0.7800000000000004,-0.0107110500171,-0.0444095498428,10.6602782189,6.23301257295,0.00885928985913,0.0,-0.0514698942462,-0.20807140861,2.07754418819,-0.102516231217,-0.00829714508309,0.0,493.28733220324415,495.5883775449747,495.6656151893801,494.61167969826
0.8400000000000004,-0.0139729383317,-0.05791070928,10.787062515,6.22661938674,0.00818334660449,0.0,-0.0572019772103,-0.242572191171,2.14843200187,-0.116173269413,-0.0179849000588,0.0,432.5687925111552,431.7523617760858,432.6873333570816,431.5256536495705
0.9000000000000005,-0.0175442143827,-0.0734734990176,10.9157097659,6.21930749236,0.00679038608896,0.0,-0.0617368534096,-0.276799620853,2.13978521298,-0.136769261955,-0.0365483029429,0.0,407.67631341388835,406.01413491870255,406.1952827553795,404.3287224257497
0.9600000000000005,-0.021382738037,-0.09145620171,11.047417494,6.21109945865,0.00458162432959,0.0,-0.0659843619519,-0.323460348217,2.25019757035,-0.136863164953,-0.0373466683982,0.0,444.96625132078765,444.9002682895147,445.38912543342593,445.36417293943185
1.0200000000000005,-0.0254133253406,-0.112123787747,11.1818506047,6.20343122352,0.00239458181219,0.0,-0.0681816399588,-0.366129131555,2.23088619397,-0.114041783958,-0.0347168405727,0.0,403.2647956449562,403.5015171242116,401.7336545133179,403.7804186830321
1.0800000000000005,-0.0295463618774,-0.135760060608,11.3185805375,6.19693159256,0.000792645195261,0.0,-0.0694021984387,-0.422406877813,2.32652081313,-0.0988341657592,-0.0141799791782,0.0,440.5745531142341,442.26898180291164,440.27096628694363,441.51678505413014
1.1400000000000006,-0.0337278820649,-0.163347139594,11.4661005856,6.19113823336,0.000504150852629,0.0,-0.0699151287273,-0.497854359963,2.59017032882,-0.0923529717343,0.00932993214831,0.0,490.65383269699703,492.3961393766756,492.31046327833764,492.78277851910894
1.2000000000000006,-0.0379377540277,-0.19549480538,11.6282252321,6.1864367943,0.000798049131196,0.0,-0.0704674536495,-0.574292795797,2.81338283234,-0.0594186797884,-0.00589796300245,0.0,481.6551599906563,480.50208359000163,481.09549225187845,483.5778100788648
